Word,Translation,Transliteration,Example Sentence,Sentence Translation
de,of,deh,Mis padres vienen de Nicaragua.,My parents are from Nicaragua.
que,that,keh,Tenga en cuenta que algunas de estas características son diferentes.,Note that some of these characteristics are different.
no,No,noh,"¿Te gustó el concierto? - No, ese estilo de música no me gusta.","Did you like the concert? - No, I don't like that style of music."
a,to,ah,Ve a tu habitación.,Go to your room.
la,the,lah,La pelota está en el tejado.,The ball is on the roof.
el,he,ehl,El gato está en el tejado.,The cat is on the roof.
y,and,ee,Quiero una pizza y un refresco.,I want a pizza and a soft drink.
es,is,sehr,Es alto y rubio.,He's tall and blond.
en,in,ehn,Hay comida ya preparada en el supermercado.,There's ready-made food in the supermarket.
lo,it,loh,¿Qué hago con el lomo de cerdo? - Cocínalo despacio.,What should I do with the pork loin? - Cook it slowly.
un,a,oon,Había un coche estacionado en la puerta.,There was a car parked at the gate.
por,by,pohr,Pásate por mi casa si quieres.,Come by my house if you want.
qué,that,keh,¿Qué estás haciendo?,What are you doing?
me,me,mi,¿Me vas a llamar mañana?,Are you going to call me tomorrow?
una,a,oo-nah,Es la una de la tarde.,It's one in the afternoon.
los,the,lohs,Todos los asientos estaban ocupados.,All the seats were taken.
se,HE,seh,Se compraron un coche nuevo.,They bought themselves a new car.
te,tea,teh,Te lo dio todo.,She gave you everything.
con,with,kohn,Los contenidos de esa caja son frágiles. Manipula con cuidado.,The contents of that box are fragile. Handle it with care.
para,for,pah-rah,Lo hice para ti.,I did it for you.
está,this,ehs-tah,¿Dónde está Joaquín? - Está en el baño.,Where's Joaquin? - He's in the bathroom.
mi,my,mee,"Ahora es mi turno, después será el tuyo.","Now it's my turn, afterwards it'll be yours."
pero,but,peh-roh,"Te quiero comprar algo, pero no tengo dinero.",I want to buy you something but I don't have any money.
sí,Yeah,see,"¿Quieres ir al cine? - Sí, pero primero hay que comer.","Do you want to go to the movies? - Yes, but let's eat first."
si,Yeah,see,"Si llueve mañana, cancelaremos el picnic.","If it rains tomorrow, we will cancel the picnic."
bien,good,byehn,Últimamente no me he sentido bien.,I haven't felt well lately.
eso,that,eh-soh,Eso fue lo que me dijo.,That's what he told me.
su,his,soo,¿Hiciste su tarea por él?,Did you do his homework for him?
las,the,lahs,¡Un aplauso para las ganadoras!,Let's give the winners a big hand!
yo,I,yoh,Yo soy su hermana.,I am her sister.
del,of the,dehl,La mejor parte del fin de semana es comer con toda la familia los domingos.,The best part of the weekend is having dinner with the whole family on Sundays.
como,as,koh-moh,Haz como te digo.,Do as I say.
aquí,here,ah-kee,"Estoy parada aquí, en el círculo amarillo.","I'm standing here, inside the yellow circle."
tu,you,too,Mi casa es tu casa.,My house is your house.
al,to the,ahl,Vamos al centro comercial después de clases.,We're going to the shopping mall after class.
más,further,mahs,Es más guapo que su hermano.,He is more handsome than his brother.
le,you,leh,Le di uno de mis libros.,I gave him one of my books.
esto,this,ehs-toh,Esto es lo que buscaba.,This is what I was looking for.
todo,all,toh-doh,Puse toda tu ropa en la lavadora.,I put all your clothes in the washing machine.
ya,already,yah,Ya ha olvidado lo que hiciste.,She has already forgotten what you did.
estoy,I'm,estoy,¡Los extrañé muchísimo a todos! ¡Estoy feliz de estar de vuelta en casa!,I missed you-all so much! I'm happy to be back home!
ahora,now,ah-oh-rah,"Ahora es mi turno, y luego será el tuyo.",Now it's my turn and then it'll be yours.
muy,very,mwee,El hotel era muy caro.,The hotel was very expensive.
ha,ha,ha,¡Ja! ¡Te gané!,Ha! I beat you!
esta,this,ehs-tah,Esta silla está rota. Siéntate mejor en esa.,This chair is broken. You'd better sit on that one.
así,So,ah-see,¿Cómo lo hago? ¿Así?,How should I do it? Like this?
vamos,come on,bah-mohs,Llegó el taxi. Vamos. - Espera. Voy rápido ir al baño.,The taxi is here. Let's go. - Wait. I'm going quickly to the bathroom.
algo,something,ahl-goh,Dame algo de comer.,Give me something to eat.
hay,there is,ay,Hay un problema con el nuevo modelo del celular.,There is a problem with the new model of the cell phone.
bueno,Well,bweh-noh,La dieta mediterránea es muy buena para la salud.,The Mediterranean diet is very good for your health.
tengo,I have,teh-nehr,Tengo tres coches.,I have three cars.
él,he,ehl,Él ha sido mi mejor amigo por 15 años.,He has been my best friend for 15 years.
cuando,when,kwahn-doh,"Cuando hace calor, nos gusta desayunar en el jardín.","When it's hot, we like to have breakfast in the yard."
estás,are,ehs-tahr,Este pastel de chocolate está delicioso.,This chocolate cake is delicious.
sé,HE,seh,Sé que eres tímido y que no te gusta hablar en público.,I know that you're shy and you don't like speaking in public.
tú,you,too,"Yo, como tú, tengo que trabajar mañana.","I, like you, have to work tomorrow."
nos,us,nohs,Nos llevaron al estadio.,They took us to the stadium.
nada,nothing,nah-dah,No hay nada en la nevera.,There's nothing in the fridge.
cómo,as,koh-moh,¿Cómo hiciste para llegar tan rápido?,How did you get here so quickly?
este,this,ehs-teh,"La ""E"" en la brújula significa ""este"".","The ""E"" on the compass means ""east."""
o,either,oh,"¿Qué color prefieres, verde o azul?","What color do you prefer, green or blue?"
he,I have,hi,Él es el hombre de mi vida.,He is the man of my life.
ser,be,sehr,Es alto y rubio.,He's tall and blond.
tiene,has,teh-nehr,Tengo tres coches.,I have three cars.
puedo,I can,poh-dehr,Mi novia puede bailar salsa.,My girlfriend can dance the salsa.
ella,she,eh-yah,Ella publicó un libro acerca de la epidemiología.,She published a book about epidemiology.
quiero,wanna,keh-rehr,Quiero comer chocolate.,I want to eat chocolate.
hacer,do,ah-sehr,Haz los deberes.,Do your homework.
fue,was,sehr,Es alto y rubio.,He's tall and blond.
gracias,thank you,grah-syahs,¡Me encanta tu mochila! - Gracias. La compré en Oaxaca.,I love your backpack! - Thank you. I got it in Oaxaca.
vez,time,behs,Esa fue la última vez que lo vi.,That was the last time I saw him.
era,was,eh-rah,La revolución pacífica de 1989 parecía el comienzo de una nueva era.,The peaceful revolution of 1989 seemed the dawn of a new era.
soy,am,sehr,Es alto y rubio.,He's tall and blond.
sólo,only,soh-loh,Bebí un vaso de vino sólo.,I only had a glass of wine.
todos,all,toh-dohs,Estoy tan feliz. Han venido todos mis amigos.,I'm so happy. All my friends have come.
porque,because,pohr-keh,Mi hermano está triste porque no ganó el concurso.,My brother is upset because he did not win the contest.
son,are,sohn,Las flamencas bailaban al son de las palmas y la guitarra.,The flamenco dancers moved to the sound of clapping and guitar.
tienes,have,teh-nehr,Tengo tres coches.,I have three cars.
creo,believe,creo,Creo que todos tienen que ayudar a cuidar el planeta.,I believe everybody has to help save our planet.
voy,go,eer,Ayer Ana y yo fuimos al cine.,"Yesterday, Ana and I went to the movies."
sabes,You know,sah-behr,Yo sé que la capital de la República Dominicana es Santo Domingo.,I know that the capital of the Dominican Republic is Santo Domingo.
estaba,was,ehs-tahr,Este pastel de chocolate está delicioso.,This chocolate cake is delicious.
puede,can,poh-dehr,Mi novia puede bailar salsa.,My girlfriend can dance the salsa.
eres,are,sehr,Es alto y rubio.,He's tall and blond.
ese,that,eh-seh,Ese coche es el que más me gusta.,That car is the one I like best.
usted,you,oos-tehd,¿Me permite usted que le sujete la puerta?,May I hold the door for you?
entonces,so,ehn-tohn-sehs,"Si ellos están aquí, entonces, ¿quién está en casa?","If they're here, then who's at home?"
hola,hello,hola,"¡Hola, Meg! - Hola, ¿cómo estás?","Hello, Meg! - Hello, how are you?"
solo,only,soh-loh,Me da miedo estar solo en la oscuridad.,It scares me to be alone in the dark.
verdad,TRUE,behr-dahd,Te estoy diciendo la verdad y nada más que la verdad.,I'm telling you the truth and nothing but the truth.
casa,home,kah-sah,Vivimos en una casa con un gran jardín.,We live in a house with a big garden.
tan,so,tahn,Mi hijo estaba tan cansado cuando llegó que se durmió enseguida.,"My son was so tired when he arrived, he fell asleep immediately."
quién,who,kyehn,¿Quién preparó la cena? ¡Está deliciosa!,Who made dinner? It's delicious!
sus,their,soo,¿Hiciste su tarea por él?,Did you do his homework for him?
tiempo,time,tyehm-poh,Me tomó bastante tiempo resolver el problema.,It took me quite a lot of time to solve the problem.
dos,two,dohs,Tenemos dos hijos.,We have two children.
esa,that,eh-sah,Esa película fue la mejor que he visto en mucho tiempo.,That movie was the best I've seen in a long time.
nunca,never,noong-kah,Nunca he ido a París.,I've never been to Paris.
dónde,where,dohn-deh,¿Dónde quieren construir el edificio los arquitectos?,Where do the architects want to build the building?
va,goes,eer,Ayer Ana y yo fuimos al cine.,"Yesterday, Ana and I went to the movies."
oh,oh,o,"¿Sabías que iba a haber fuegos artificiales esta noche? - ¡Oh! No, no lo sabía.","Did you know there were going to be fireworks tonight? - Oh? No, I didn't."
favor,favor,fah-bohr,"Si quieres que alguien te haga un favor, solo tienes que saber pedírselo.","If you want a favor from someone, you just need to know how to ask for it."
mucho,a lot,moo-choh,Hay mucha gente en la playa hoy.,There are a lot of people at the beach today.
